id,company
116690,SHOCHIKU COMPANY
213917,MK2 PRODUCTION
238,PARAMOUNT PICTURES
159,CONSTANTIN FILM
11134,GOLDEN HARVEST COMPANY
88224,POPE PRODUCTIONS
132641,TOHO COMPANY
9303,DINO DE LAURENTIIS COMPANY
23945,REGENCY ENTERPRISES
37820,AUSTRALIAN FILM FINANCE CORPORATION (AFFC)
22479,FINE LINE FEATURES
9054,CARAVAN PICTURES
11985,CENTRAL MOTION PICTURES
10232,ALBATROS PRODUKTION
59569,IXTLAN PRODUCTIONS
38955,GOLDEN HARVEST COMPANY
11015,PARAMOUNT PICTURES
9306,NEW LINE CINEMA
12559,WALT DISNEY PICTURES
58770,UNIVERSAL PICTURES
3587,REGENCY ENTERPRISES
10723,UNIVERSAL PICTURES
56077,KANZAMAN
19004,UNIVERSAL CARTOON STUDIOS
10987,MIRAMAX FILMS
44705,FINE LINE FEATURES
20318,FINE LINE FEATURES
43596,ELITE-TONFILM-PRODUKTION GMBH
26933,LES FILMS ALAIN SARDE
27854,PARAMOUNT PICTURES
981,METRO-GOLDWYN-MAYER (MGM)
872,METRO-GOLDWYN-MAYER (MGM)
2769,LOEW'S
13320,PARAMOUNT PICTURES
164,PARAMOUNT PICTURES
426,PARAMOUNT PICTURES
567,PARAMOUNT PICTURES
3078,COLUMBIA PICTURES CORPORATION
13528,METRO-GOLDWYN-MAYER (MGM)
28288,RKO RADIO PICTURES
213,METRO-GOLDWYN-MAYER (MGM)
284,UNITED ARTISTS
239,THE MIRISCH CORPORATION
4808,UNIVERSAL PICTURES
289,WARNER BROS.
963,WARNER BROS.
11113,WARNER BROS.
6620,PARAMOUNT PICTURES
804,PARAMOUNT PICTURES
26531,TWENTIETH CENTURY FOX FILM CORPORATION
909,LOEW'S
630,LOEW'S INCORPORATED
770,SELZNICK INTERNATIONAL PICTURES
31044,BROOKSFILMS
599,PARAMOUNT PICTURES
15,RKO RADIO PICTURES
